timestamp,alloc_mb,sys_mb,heap_inuse_mb,heap_idle_mb,num_gc,goroutines
2026-03-22T01:50:05+05:30,0.63,8.27,1.48,1.98,0,8
2026-03-22T01:50:07+05:30,0.63,8.27,1.48,1.98,0,8
2026-03-22T01:50:09+05:30,0.63,8.27,1.48,1.98,0,8
2026-03-22T01:50:11+05:30,0.63,8.27,1.48,1.98,0,8
2026-03-22T01:50:13+05:30,0.63,8.27,1.48,1.98,0,8
2026-03-22T01:50:15+05:30,0.63,8.27,1.48,1.98,0,8
2026-03-22T01:50:17+05:30,0.63,8.27,1.48,1.98,0,8
2026-03-22T01:50:19+05:30,0.63,8.27,1.48,1.98,0,8
2026-03-22T01:50:21+05:30,0.63,8.27,1.48,1.98,0,8
2026-03-22T01:50:23+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:25+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:27+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:29+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:31+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:33+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:35+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:37+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:39+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:41+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:43+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:45+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:47+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:49+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:51+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:53+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:55+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:57+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:50:59+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:01+05:30,0.64,8.27,1.48,1.98,0,8
2026-03-22T01:51:03+05:30,0.64,8.27,1.48,1.98,0,8
